"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","100 Thieves","Middle",9,"67%","33%",23,17,61,4.9,"71.2%","19.5%","21.3%","44%",-10,-186,-4.9,9.5,"28.6%",521,"26.9%","27.9%",294,"25.3%",0,0.56,0.22,0.29
"Ablazeolive","Golden Guardians","Middle",9,"44%","44%",23,26,39,2.4,"68.1%","25.3%","25.0%","11%",-91,-116,-0.2,8.9,"26.8%",580,"29.5%","30.9%",274,"24.2%",0,0.38,0.17,0.28
"aphromoo","FlyQuest","Support",9,"56%","44%",11,16,64,4.7,"75.8%","11.1%","18.4%","56%",139,111,0.2,1.2,"3.2%",132,"6.9%","6.0%",109,"9.6%",0,1.37,0.39,0.26
"Berserker","Cloud9","ADC",6,"67%","67%",15,10,30,4.5,"62.5%","20.8%","17.5%","0%",-114,-239,10.5,8,"23.8%",557,"25.7%","26.7%",267,"21.8%",0,0.51,0.18,0.41
"Biofrost","Dignitas","Support",9,"22%","33%",4,14,51,3.9,"71.4%","5.2%","14.4%","33%",32,28,-1,1.8,"4.6%",164,"9.2%","8.3%",108,"10.4%",0,1.39,0.36,0.21
"Bjergsen","Team Liquid","Middle",9,"67%","44%",34,9,53,9.7,"75.0%","29.3%","11.3%","11%",336,353,4.9,9.3,"27.4%",587,"27.1%","28.3%",294,"24.4%",0,0.39,0.14,0.18
"Blaber","Cloud9","Jungle",9,"44%","44%",20,20,44,3.2,"71.1%","22.2%","20.6%","44%",223,264,6.2,8.6,"18.2%",386,"18.9%","21.1%",218,"19.2%",1,0.38,0.19,0.42
"Blue","Dignitas","Middle",9,"22%","56%",20,16,28,3,"62.3%","26.0%","16.5%","11%",-119,-69,-0.9,9.8,"30.8%",511,"28.2%","31.7%",272,"26.3%",0,0.39,0.09,0.25
"Bwipo","Team Liquid","Top",9,"67%","67%",30,20,40,3.5,"60.3%","25.9%","25.0%","22%",178,50,3.4,9.3,"28.9%",592,"28.6%","27.7%",311,"25.7%",0,0.38,0.18,0.14
"Chime","TSM","Support",2,"50%","0%",1,5,18,3.8,"76.0%","4.0%","23.8%","50%",24,-283,2,1,"1.7%",180,"9.3%","8.5%",93,"8.2%",0,1.77,0.35,0.27
"Closer","100 Thieves","Jungle",9,"67%","44%",25,18,49,4.1,"62.7%","21.2%","22.5%","22%",-150,-67,-5.8,6.7,"13.3%",236,"11.9%","13.1%",190,"16.1%",2,0.3,0.26,0.42
"Contractz","Counter Logic Gaming","Jungle",9,"56%","56%",20,23,54,3.2,"72.5%","19.6%","19.0%","67%",123,-51,2.8,6.8,"16.5%",316,"14.1%","14.5%",206,"17.8%",0,0.4,0.33,0.33
"CoreJJ","Team Liquid","Support",9,"67%","33%",6,16,82,5.5,"75.9%","5.2%","20.0%","22%",-60,-8,-3.4,0.7,"2.3%",155,"7.3%","6.7%",113,"9.4%",0,1.79,0.42,0.44
"Danny","Evil Geniuses","ADC",9,"89%","56%",50,13,60,8.5,"74.8%","34.0%","15.9%","22%",276,-46,17.4,10,"32.2%",898,"32.6%","35.9%",335,"26.5%",0,0.35,0.14,0.32
"Destiny","Cloud9","Support",3,"0%","67%",0,9,12,1.3,"66.7%","0.0%","22.5%","33%",121,99,20.7,2.7,"6.0%",153,"7.9%","6.0%",109,"9.9%",0,1.05,0.25,0.14
"Dhokla","Counter Logic Gaming","Top",9,"56%","56%",19,26,38,2.2,"55.9%","18.6%","21.5%","11%",70,33,1.4,9.1,"30.4%",539,"24.8%","22.4%",284,"24.5%",0,0.35,0.14,0.23
"FBI","100 Thieves","ADC",9,"67%","56%",37,15,39,5.1,"64.4%","31.4%","18.8%","11%",-63,-78,-13.2,8.2,"24.7%",565,"29.7%","32.4%",289,"24.1%",0,0.62,0.17,0.43
"Fudge","Cloud9","Top",9,"44%","33%",24,15,35,3.9,"65.6%","26.7%","15.5%","33%",265,200,3.4,9.5,"28.1%",515,"23.4%","22.5%",299,"26.1%",0,0.37,0.08,0.17
"Gamsu","Dignitas","Top",9,"22%","33%",19,23,28,2,"61.0%","24.7%","23.7%","22%",-91,-10,-1.7,8.2,"24.3%",460,"26.4%","24.5%",242,"23.4%",0,0.34,0.11,0.15
"Hans sama","Team Liquid","ADC",9,"67%","11%",29,21,43,3.4,"62.1%","25.0%","26.3%","11%",38,157,4.3,9.1,"28.1%",521,"24.8%","25.0%",293,"24.5%",0,0.43,0.16,0.28
"huhi","100 Thieves","Support",9,"67%","56%",7,14,81,6.3,"74.6%","5.9%","17.5%","22%",120,170,15.8,2.3,"5.9%",121,"6.3%","6.1%",126,"11.3%",0,1.58,0.45,0.32
"Huni","TSM","Top",7,"29%","57%",12,18,21,1.8,"53.2%","19.4%","17.8%","14%",-53,128,4.3,8.7,"26.6%",477,"26.1%","23.8%",252,"23.7%",0,0.44,0.14,0.09
"IgNar","Immortals","Support",9,"22%","67%",3,19,37,2.1,"66.7%","5.0%","16.0%","0%",-187,-8,1.9,1.3,"3.3%",138,"7.5%","6.8%",82,"8.2%",0,1.79,0.55,0.36
"Impact","Evil Geniuses","Top",9,"89%","22%",30,26,67,3.7,"66.0%","20.4%","31.7%","22%",260,99,1.4,7.9,"23.7%",588,"23.2%","19.7%",304,"24.1%",0,0.38,0.1,0.15
"Inspired","Evil Geniuses","Jungle",9,"89%","56%",39,12,64,8.6,"70.1%","26.5%","14.6%","22%",-51,-3,-1.4,7.7,"17.9%",328,"13.3%","14.3%",233,"18.6%",2,0.26,0.21,0.36
"Instinct","TSM","ADC",2,"50%","0%",11,1,8,19,"76.0%","44.0%","4.8%","50%",19,610,0.5,10.1,"32.6%",580,"29.7%","32.5%",328,"28.7%",0,0.41,0.18,0.35
"Jensen","Cloud9","Middle",9,"44%","56%",23,19,33,2.9,"62.2%","25.6%","19.6%","11%",-72,136,0.9,9.1,"25.7%",544,"24.4%","24.0%",265,"23.5%",0,0.4,0.14,0.22
"Johnsun","FlyQuest","ADC",9,"56%","89%",36,19,38,3.9,"74.7%","36.4%","21.8%","56%",230,264,2.6,9,"28.4%",546,"27.9%","27.4%",303,"26.7%",0,0.52,0.21,0.39
"jojopyun","Evil Geniuses","Middle",9,"89%","67%",26,16,80,6.6,"72.1%","17.7%","19.5%","0%",29,-60,6,8.6,"24.3%",632,"23.0%","23.2%",277,"21.9%",0,0.55,0.23,0.23
"Josedeodo","FlyQuest","Jungle",9,"56%","33%",15,23,53,3,"68.7%","15.2%","26.4%","33%",124,204,5,7.3,"15.4%",228,"11.8%","13.2%",192,"17.1%",2,0.34,0.3,0.42
"k1ng","Cloud9","ADC",3,"0%","33%",3,9,10,1.4,"72.2%","16.7%","22.5%","33%",-420,-295,-31,6.3,"21.7%",404,"21.7%","23.4%",187,"20.3%",1,0.52,0.1,0.51
"Kenvi","Immortals","Jungle",9,"22%","56%",14,34,24,1.1,"63.3%","23.3%","28.6%","11%",-163,-175,-3.6,6.2,"15.2%",203,"11.3%","12.8%",169,"17.4%",3,0.51,0.33,0.4
"Licorice","Golden Guardians","Top",9,"44%","56%",22,25,40,2.5,"68.1%","24.2%","24.0%","22%",-112,-115,-2,8.2,"25.1%",467,"23.8%","20.5%",268,"23.2%",0,0.41,0.16,0.22
"Lost","Immortals","ADC",9,"22%","22%",14,24,29,1.8,"71.7%","23.3%","20.2%","11%",-169,-86,-4.2,8.4,"26.9%",412,"22.6%","22.2%",247,"24.4%",0,0.5,0.19,0.33
"Luger","Counter Logic Gaming","ADC",9,"56%","67%",26,24,57,3.5,"81.4%","25.5%","19.8%","56%",-130,-139,-11.6,7.4,"23.3%",520,"24.6%","24.7%",270,"23.1%",0,0.45,0.13,0.47
"Maple","TSM","Middle",9,"33%","67%",18,23,44,2.7,"71.3%","20.7%","18.9%","33%",-32,42,0,9.3,"27.2%",488,"25.7%","28.4%",263,"24.4%",0,0.52,0.2,0.17
"Mia","TSM","Support",7,"29%","0%",3,28,40,1.5,"69.4%","4.8%","27.7%","57%",-327,-807,-27,0.7,"1.9%",157,"8.6%","6.7%",89,"8.1%",0,1.69,0.63,0.46
"Neo","Dignitas","ADC",9,"22%","44%",14,16,31,2.8,"58.4%","18.2%","16.5%","33%",22,-115,0.9,7.9,"25.7%",355,"20.4%","19.7%",234,"22.6%",0,0.62,0.21,0.53
"Olleh","Golden Guardians","Support",9,"44%","67%",10,15,54,4.3,"70.3%","11.0%","14.4%","33%",229,173,17.1,2.2,"6.1%",181,"9.5%","8.1%",131,"11.3%",0,1.21,0.36,0.3
"Palafox","Counter Logic Gaming","Middle",9,"56%","33%",25,21,40,3.1,"63.7%","24.5%","17.4%","33%",-54,-125,-4.3,8.1,"23.5%",550,"25.5%","28.5%",264,"23.1%",1,0.55,0.2,0.24
"Philip","FlyQuest","Top",9,"56%","78%",15,20,37,2.6,"52.5%","15.2%","23.0%","11%",-164,4,-6.9,8.3,"24.7%",457,"24.0%","23.4%",240,"21.0%",0,0.35,0.16,0.17
"Poome","Counter Logic Gaming","Support",9,"56%","89%",12,27,60,2.7,"70.6%","11.8%","22.3%","44%",82,153,6.4,2.2,"6.4%",242,"11.0%","9.9%",131,"11.5%",0,1.14,0.33,0.3
"PowerOfEvil","Immortals","Middle",9,"22%","78%",15,14,27,3,"70.0%","25.0%","11.8%","0%",-148,-8,-5.2,9.1,"29.1%",663,"35.8%","37.7%",256,"26.7%",1,0.41,0.14,0.24
"Pridestalker","Golden Guardians","Jungle",9,"44%","33%",17,22,38,2.5,"60.4%","18.7%","21.2%","11%",-256,-134,-0.8,7.3,"17.5%",299,"15.1%","16.9%",204,"18.3%",0,0.34,0.32,0.31
"Revenge","Immortals","Top",9,"22%","33%",14,28,20,1.2,"56.7%","23.3%","23.5%","11%",-166,-325,-1.8,8.1,"25.5%",415,"22.7%","20.5%",234,"23.4%",0,0.34,0.15,0.19
"River","Dignitas","Jungle",9,"22%","56%",20,28,38,2.1,"75.3%","26.0%","28.9%","44%",-162,-87,-4.8,6.6,"14.6%",277,"15.8%","15.9%",181,"17.4%",0,0.41,0.32,0.38
"S0ul","TSM","Top",2,"50%","50%",2,5,11,2.6,"52.0%","8.0%","23.8%","0%",-731,-503,-11.5,8.1,"22.9%",460,"23.8%","21.6%",240,"20.7%",0,0.51,0.29,0.19
"Santorin","Team Liquid","Jungle",9,"67%","67%",17,14,64,5.8,"69.8%","14.7%","17.5%","22%",104,-177,-4.8,5.8,"13.2%",256,"12.2%","12.2%",191,"16.0%",1,0.3,0.26,0.47
"Spica","TSM","Jungle",9,"33%","56%",26,22,42,3.1,"78.2%","29.9%","18.0%","56%",209,225,7.1,7.9,"16.0%",293,"15.6%","16.2%",213,"19.7%",0,0.35,0.38,0.38
"Ssumday","100 Thieves","Top",9,"67%","67%",26,16,50,4.8,"64.4%","22.0%","20.0%","22%",-38,77,1.8,8.7,"27.4%",479,"25.2%","20.6%",270,"23.1%",0,0.37,0.18,0.2
"Stixxay","Golden Guardians","ADC",9,"44%","44%",19,16,47,4.1,"72.5%","20.9%","15.4%","33%",-184,-191,-19.9,7.6,"24.5%",436,"22.1%","23.6%",262,"23.0%",0,0.56,0.19,0.49
"Tactical","TSM","ADC",7,"29%","71%",14,20,19,1.7,"53.2%","22.6%","19.8%","43%",247,457,34.6,9.2,"28.2%",422,"22.7%","22.8%",253,"23.6%",0,0.49,0.21,0.27
"toucouille","FlyQuest","Middle",9,"56%","22%",22,9,36,6.4,"58.6%","22.2%","10.3%","0%",161,33,3.8,9.6,"28.3%",560,"29.4%","30.1%",288,"25.7%",0,0.54,0.18,0.21
"Vulcan","Evil Geniuses","Support",9,"89%","56%",2,15,124,8.4,"85.7%","1.4%","18.3%","22%",-77,132,-16.1,0.7,"1.9%",205,"7.9%","7.0%",112,"8.9%",0,1.84,0.46,0.28
"Zven","Cloud9","Support",6,"67%","50%",5,15,47,3.5,"72.2%","6.9%","26.3%","17%",-105,-141,-10.8,1.9,"4.3%",211,"9.4%","7.0%",122,"10.0%",0,1.19,0.22,0.36